"","ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","MntMeatProducts","NumWebPurchases","NumCatalogPurchases","NumStorePurchases"
"1",5524,1957,"Graduation","Single",58138,0,0,44.7332857821917,3.65685424949238,4.32455532033676,2
"2",2174,1954,"Graduation","Single",46344,1,1,2.89897948556636,0,0,0.82842712474619
"3",4141,1965,"Graduation","Together",71613,0,0,20.5388553391693,3.65685424949238,0.82842712474619,4.32455532033676
"4",6182,1984,"Graduation","Together",26646,1,0,6.94427190999916,0.82842712474619,-2,2
"5",5324,1981,"PhD","Married",58293,1,0,19.7255609824004,2.47213595499958,1.46410161513775,2.89897948556636
"6",7446,1967,"Master","Together",62513,0,1,17.7989898732233,2.89897948556636,2,4.32455532033676
"7",965,1971,"Graduation","Divorced",55635,0,1,23.6124969497314,3.29150262212918,1.46410161513775,3.29150262212918
"8",6177,1985,"PhD","Married",33454,1,0,12.9666295470958,2,-2,2
"9",4855,1974,"PhD","Together",30351,1,0,7.79795897113271,1.46410161513775,-2,0.82842712474619
"10",5899,1950,"PhD","Together",5648,1,1,2.89897948556636,0,-2,-2
"12",387,1976,"Basic","Married",7500,0,0,4.6332495807108,0.82842712474619,-2,1.46410161513775
"13",2125,1959,"Graduation","Divorced",63033,0,0,41.8178046004133,1.46410161513775,2,3.65685424949238
"14",8180,1952,"Master","Divorced",59354,1,1,12.560219778561,2.89897948556636,0,2.47213595499958
"15",2569,1987,"Graduation","Married",17323,0,0,6.24621125123532,0,-2,1.46410161513775
"16",2114,1946,"PhD","Single",82800,0,0,19.4476105895272,3.29150262212918,2.89897948556636,4.92820323027551
"17",9736,1980,"Graduation","Married",41850,1,1,6.71779788708135,1.46410161513775,-2,1.46410161513775
"18",4939,1946,"Graduation","Together",37760,0,0,10.328828005938,2,0,2.89897948556636
"19",6565,1949,"Master","Married",76995,0,1,42.6318272088428,4.6332495807108,2,4
"20",2278,1985,"2n Cycle","Single",33812,1,0,6.71779788708135,0.82842712474619,0,1.46410161513775
"21",9360,1982,"Graduation","Married",37040,0,0,15.0880074906351,2,0.82842712474619,2.47213595499958
"22",5376,1979,"Graduation","Married",2447,1,0,14.4924225024706,-2,8.58300524425836,-2
"23",1993,1949,"PhD","Married",58607,0,1,16.5472369909914,0.82842712474619,1.46410161513775,4
"24",4047,1954,"PhD","Married",65324,0,1,18.1990098767242,2.89897948556636,0.82842712474619,4
"25",1409,1951,"Graduation","Together",40689,0,1,8.39230484541326,3.29150262212918,0,2.47213595499958
"26",7892,1969,"Graduation","Single",18589,0,0,8,0.82842712474619,0,1.46410161513775
"27",2404,1976,"Graduation","Married",53359,1,1,8.95445115010332,2.47213595499958,0,2
"29",9422,1989,"Graduation","Married",38360,1,0,10.9614813968157,0.82842712474619,0,2
"30",1966,1965,"PhD","Married",84618,0,0,54.6038867923396,2.89897948556636,4,4.32455532033676
"31",6864,1989,"Master","Divorced",10979,0,0,4.32455532033676,1.46410161513775,-2,1.46410161513775
"32",3033,1963,"Master","Together",38620,0,0,11.2664991614216,0.82842712474619,2.47213595499958,1.46410161513775
"33",5710,1970,"Graduation","Together",40548,0,1,2.47213595499958,0.82842712474619,0,2
"34",7373,1952,"PhD","Divorced",46610,0,2,17.5959179422654,2,0,2.89897948556636
"35",8755,1946,"Master","Married",68657,0,0,41.4050688284214,1.46410161513775,2.47213595499958,4
"36",10738,1951,"Master","Single",49389,1,1,6.71779788708135,0.82842712474619,-2,1.46410161513775
"37",4339,1970,"PhD","Married",67353,0,1,22.576411454889,2.47213595499958,2.89897948556636,4.92820323027551
"38",10755,1976,"2n Cycle","Married",23718,1,0,5.48331477354788,1.46410161513775,0,0.82842712474619
"39",8595,1973,"Graduation","Widow",42429,0,1,2.89897948556636,0,0,1.46410161513775
"40",2968,1943,"PhD","Divorced",48948,0,0,26.7054001888146,3.29150262212918,4.32455532033676,2.47213595499958
"41",8601,1980,"Graduation","Married",80011,0,1,44.3033476111609,3.65685424949238,2.89897948556636,2.47213595499958
"42",503,1985,"Master","Married",20559,1,0,8.77032961426901,0.82842712474619,-2,1.46410161513775
"43",8430,1957,"Graduation","Together",21994,0,1,2.89897948556636,-2,-2,1.46410161513775
"45",2139,1975,"Master","Married",7500,1,0,4.32455532033676,0.82842712474619,-2,1.46410161513775
"46",1371,1976,"Graduation","Single",79941,0,0,30.6190128606002,0.82842712474619,2,4
"47",9909,1996,"2n Cycle","Married",7500,0,0,5.48331477354788,1.46410161513775,0,1.46410161513775
"48",7286,1968,"Graduation","Together",41728,1,0,5.74596669241483,0.82842712474619,-2,0.82842712474619
"50",6566,1954,"PhD","Married",72550,1,1,33.6089876295297,2.47213595499958,0.82842712474619,4.92820323027551
"51",8614,1957,"Graduation","Widow",65486,0,1,20.3606797749979,2,0.82842712474619,4.32455532033676
"52",4114,1964,"Master","Married",79143,0,0,53.8569601750758,2.89897948556636,4,5.21110255092798
"53",1331,1977,"Graduation","Single",35790,1,0,6.94427190999916,0.82842712474619,-2,1.46410161513775
"54",2225,1977,"Graduation","Divorced",82582,0,0,44.9041575982343,2,4,3.29150262212918
"55",9381,1978,"Graduation","Married",66373,1,1,20.2710574513201,2,0.82842712474619,4.32455532033676
"56",6260,1955,"Master","Together",82384,0,0,39.5692193816531,1.46410161513775,4.32455532033676,5.21110255092798
"57",10383,1966,"Graduation","Divorced",70287,0,0,41.9089968002003,2.47213595499958,2.47213595499958,4.32455532033676
"58",7437,1988,"Graduation","Single",27938,1,0,3.65685424949238,0,-2,2
"60",8375,1968,"PhD","Married",55954,0,1,8.58300524425836,3.65685424949238,0.82842712474619,2.89897948556636
"61",6853,1982,"Master","Single",75777,0,0,44.3896540189728,1.46410161513775,2.89897948556636,4.6332495807108
"62",3076,1975,"Graduation","Together",66653,1,1,18.1990098767242,2,0.82842712474619,4.92820323027551
"63",1012,1952,"Graduation","Single",61823,0,1,21.1516738055805,3.65685424949238,0.82842712474619,4.32455532033676
"64",6518,1951,"PhD","Widow",67680,0,1,11.856406460551,3.29150262212918,1.46410161513775,3.65685424949238
"65",4137,1948,"Graduation","Together",70666,0,0,36.314488121336,3.29150262212918,2,2
"66",8082,1971,"Graduation","Married",25721,1,0,2.89897948556636,0,0,0.82842712474619
"67",1386,1967,"Graduation","Together",32474,1,1,0,0,-2,0.82842712474619
"68",9369,1979,"2n Cycle","Single",88194,0,1,33.1567916624939,4.6332495807108,4.32455532033676,4.32455532033676
"69",4477,1958,"Graduation","Together",69096,0,1,23.219040425837,2.47213595499958,0.82842712474619,4.32455532033676
"70",1357,1970,"Graduation","Together",74854,1,2,42.1361529814278,0.82842712474619,2.47213595499958,2.47213595499958
"71",1402,1954,"Master","Married",66991,0,0,40.8952211790544,2,3.65685424949238,2.89897948556636
"73",6312,1959,"Graduation","Married",65031,0,1,32.117444218464,4.32455532033676,1.46410161513775,5.21110255092798
"74",8132,1975,"PhD","Married",60631,1,1,14.1245154965971,4,0.82842712474619,3.65685424949238
"75",1050,1952,"Graduation","Married",28332,0,0,5.21110255092798,0.82842712474619,0,2
"76",5846,1977,"Graduation","Divorced",40246,1,0,2.89897948556636,0,-2,0.82842712474619
"77",1859,1972,"Master","Married",75251,0,0,58.8276253029822,3.29150262212918,2.89897948556636,2.47213595499958
"78",7503,1976,"Graduation","Single",75825,0,0,53.8211429478115,2.47213595499958,3.65685424949238,4
"79",10401,1976,"2n Cycle","Together",26326,0,0,2.47213595499958,-2,-2,1.46410161513775
"80",1618,1965,"Graduation","Together",56046,0,0,14,4.32455532033676,0,3.65685424949238
"81",3332,1985,"Graduation","Single",29760,1,0,14.4924225024706,1.46410161513775,0,2
"82",2261,1969,"Graduation","Married",26304,1,0,2.47213595499958,0,-2,0.82842712474619
"83",5346,1973,"2n Cycle","Married",23559,1,0,6.71779788708135,1.46410161513775,-2,1.46410161513775
"84",4119,1963,"Master","Together",38620,0,0,11.2664991614216,0.82842712474619,2.47213595499958,1.46410161513775
"85",535,1987,"Graduation","Divorced",81361,0,0,39.182520563948,1.46410161513775,4.32455532033676,5.21110255092798
"86",5268,1960,"Graduation","Married",29440,1,1,5.48331477354788,0,-2,2
"87",273,1970,"Master","Married",36138,1,1,6,1.46410161513775,0,2
"88",4452,1957,"Graduation","Single",50388,0,1,10.1655250605964,2.89897948556636,0,2.89897948556636
"89",8504,1973,"Graduation","Married",79593,0,0,45.6655011512519,2.47213595499958,2.89897948556636,3.29150262212918
"90",771,1967,"Graduation","Together",54178,0,1,10.4899959967968,0.82842712474619,0.82842712474619,2.47213595499958
"94",11178,1972,"Master","Single",42394,1,0,4.32455532033676,0,-2,1.46410161513775
"95",2230,1970,"PhD","Married",23626,1,0,5.48331477354788,1.46410161513775,0,1.46410161513775
"96",7516,1983,"Graduation","Married",30096,1,0,4.6332495807108,0.82842712474619,-2,1.46410161513775
"97",7247,1960,"Graduation","Widow",47916,0,1,8.19803902718557,3.29150262212918,2,2.89897948556636
"98",11100,1972,"Graduation","Divorced",51813,1,1,3.29150262212918,0.82842712474619,-2,1.46410161513775
"99",4646,1951,"2n Cycle","Married",78497,0,0,40.2847490237319,2.47213595499958,3.29150262212918,4.92820323027551
